29-04-2026|modul/pengolahan/pengolahan_temp.php -> menambahkan batas durasi waktu untuk kantong Haemonetics
28-04-2026|modul/pengolahan/pengolahan.php -> menambahkan opsi beku saja untuk apheresis
28-04-2026|modul/pengambilan_darahaph23.php -> memperbaiki inputan apheresis (status kantong dan pengesahan)
27-04-2026|prosesPengolahan.php -> update cek isi tgl pengerjaan, jika tidak ada maka pakai tanggal created pada tglpengolahan
27-04-2026|pmikasir.php -> update agar histori donor muncul dipencarian seleksi
23-04-2026|Tambah kolom insp_nosertifikat pada db pmf_inspection
22-04-2026|logistik1_master_reagen.php -> comment fitur kantong apheresis
21-04-2026|mobileonline/view/pengambilan.php -> menambahkan Status pada kantong satelit yang berhasil
21-04-2026|panther_nat/panther_konfirmasi1.php -> update validasi operator, petugas konfirmasi dan pengesah tidak boleh sama
21-04-2026|panther_nat/panther_proses.php -> memperbaiki hasilNat yang hasil reaktif dan non reaktif terbalik pada penyimpnanan table stokkantong
20-04-2026|release/qa_release_komponen.php -> update hitung selisih total waktu pada informasi komponen pada release
20-04-2026|pmikasir2.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmiqa.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmikomponen.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmikonfirmasi.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmimobile.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmiaftap.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmikasir.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmip2d2s.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|pmilogistik.php -> update route cek kantong ke modul/cek_kantong_new.php
20-04-2026|modul/cek_kantong_new.php -> buat modul cek kantong baru
16-04-2026|musnah/musnah_serah.php -> menambahkan form lampiran berita acara dan lampiran dari instansi limbah
16-04-2026|musnah/musnah24.php -> take out lampirakan berita acara, instansi dan petugas limbah
14-04-2026|release/qa_release_komponen.php -> Update Case sensitive nomor kantong jadi kecil semua untuk mengatasi data muncul pada kolom beku, jika menggunakan kantong utama
14-04-2026|modul/pengolahan/pengolahan_temp.php -> mengubah pengambilan Status pada kantong satelit
14-04-2026|profile/ -> ganti semua isi folder profile untuk statistik tatausaha
14-04-2026|images/statistik_trend_donasi.png -> tambah gambar untuk statistik
14-04-2026|images/statistik_ppdds.png -> tambah gambar untuk statistik
14-04-2026|images/statistik_pengujian.png -> tambah gambar untuk statistik
14-04-2026|images/statistik_pengolahan.png -> tambah gambar untuk statistik
14-04-2026|images/statistik_pendonor.png -> tambah gambar untuk statistik
14-04-2026|images/statistik_donasi.png -> tambah gambar untuk statistik
14-04-2026|images/statistik_distribusi.png -> tambah gambar untuk statistik
14-04-2026|tatausaha_statistik.php -> menambahkan beberapa fitur statistik tatausaha
14-04-2026|pmitatausaha.php -> menambahkan modul untuk statistik level tatausaha
10-04-2026|release/qa_release.php -> penambahan textbox noselang pada saat rilis produk
08-04-2026|modul/history_tim_source.php => decrypt file dan menambahkan tombol tambah catatan baru
08-04-2026|pmf/images/loop_back_01.png => ubah ikon dari Loop Back jadi Look Back
07-04-2026| modul/pengolahan/pengolahan_temp.php -> mengatur tglAftap kantong satelit yg diambil dari kantong utama
06-04-2026| modul/rekap_pembuatan_komponen1.php -> mengubah tanggal input sistem menjadi tanggal pengerjaan
06-04-2026| modul/rincian_pembuatan_komponen_xls.php -> mengubah tanggal input sistem menjadi tanggal pengerjaan 
06-04-2026| architec/imltd_import_arc2000_konfirmasi.php -> menambahkan input reagen menjadi 2
17-03-2026| carinoselang_1.php -> penambahan cari verifikasi_kantong.tanggal_buka 
17-03-2026| modul/cek_verifikasi_kantong.php -> tambah file php cek verifikasi 
17-03-2026| modul/simpan_verifikasi_kantong.php -> penambahan simpan tanggal_buka 
17-03-2026| modul/pengambilan_darah23.php -> penambahan tanggal buka kemasan kantong 
17-03-2026| mobileonline/carinoselang_1.php -> tambah file php carinoselang_1 
17-03-2026| mobileonline/view/pengambilan.php -> merubah sistem verifikasi kantong dengan format baru 
17-03-2026| modul/medical_hbgol.php -> mengganti alasan tolak donor 
17-03-2026| modul/medical_check_up.php -> mengganti alasan tolak donor
11-03-2026| modul/pengolahan/pengolahan_temp.php -> mengubah nilai default suhu dan kecepatan alat 
